[Header]
Application Name	LabSolutions
Version	5.97
Data File Name	C:\Users\AG-LAB-EME2L\Desktop\Goldfarb Lab\Matteo\FW-CP-HTC\210_FW250C1h1_2_Method_F.7-.5-.7_B0-60-0_25min_210nm_5.lcd
Output Date	6/9/2023
Output Time	11:49:01 AM

[Configuration]
Instrument Name	MUFASA UV
Instrument #	6
Line #	1
# of Detectors	1
Detector ID	Detector A
Detector Name	Detector A
# of Channels	1

[Peak Table(Detector A)]
# of Peaks	39
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1.780	1.467	1.825	12601	1937	6.506	0.000	   			0.000	1012	148.171	0.000	0.000	0.000	0	0	0.000	0.000
2	2.019	1.825	2.017	42210	5731	7.365	1413.264	 V M	20	(2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanoic acid	0.134	0	0.000	0.000	0.000	0.000	0	0	2.443	2.443
3	2.163	2.017	2.300	385818	58332	6.614	691.202	 V M	21	oxalic acid	0.215	2515	59.646	0.000	0.000	1.600	0	0	1.195	1.195
4	2.368	2.300	2.433	70260	10592	6.634	1129.281	 V 	2	formic acid	0.331	847	177.082	0.000	0.826	1.537	0	0	1.952	1.952
5	2.534	2.433	2.625	174977	21343	8.198	4054.959	 V 	24	2-hydroxypropanoic acid	0.424	1407	106.608	0.000	0.555	1.281	0	0	7.009	7.009
6	2.687	2.625	3.175	1225558	248708	4.928	45544.115	SV M	5	acetic acid	0.510	8989	16.687	2.861	0.797	1.203	0	0	78.724	78.724
7	3.090	3.008	3.175	20779	4229	4.913	0.000	T  			0.736	7451	20.132	1.036	3.145	1.445	0	0	0.000	0.000
8	3.316	3.175	3.442	467500	48354	9.668	0.000	 V M			0.863	2065	72.643	0.000	1.038	1.172	0	0	0.000	0.000
9	3.454	3.442	3.750	174429	18800	9.278	51.386	 V M	6	2H-furan-5-one	0.941	0	0.000	0.000	0.000	1.090	0	0	0.089	0.089
10	3.908	3.750	4.350	299285	17723	16.887	0.000	 V 			1.196	1090	137.580	0.000	0.000	1.271	0	0	0.000	0.000
11	4.399	4.350	4.483	22278	2895	7.695	0.000	 V 			1.472	47	3201.804	0.000	0.323	1.231	0	0	0.000	0.000
12	4.596	4.483	4.642	31849	3764	8.460	0.000	 V 			1.582	200	748.625	0.000	0.102	1.075	0	0	0.000	0.000
13	4.710	4.642	4.783	31717	3984	7.961	0.000	 V 			1.646	318	471.718	0.000	0.097	1.040	0	0	0.000	0.000
14	4.977	4.783	5.100	83108	5748	14.459	18.418	 V 	22	(E)-but-2-enedioic acid	1.797	713	210.333	0.000	0.297	1.091	0	0	0.032	0.032
15	5.232	5.100	5.483	108805	6517	16.697	1955.047	 V 	4	propanoic acid	1.940	1263	118.765	0.000	0.382	1.080	0	0	3.379	3.379
16	5.640	5.483	5.775	57122	3644	15.675	0.000	 V 			2.169	554	270.629	0.000	0.527	1.118	0	0	0.000	0.000
17	5.938	5.775	5.942	37826	4509	8.388	0.000	 V M			2.336	0	0.000	0.000	0.000	1.077	0	0	0.000	0.000
18	6.066	5.942	6.183	104536	9198	11.365	0.000	 V M			2.408	2936	51.090	0.000	0.000	1.031	0	0	0.000	0.000
19	6.196	6.183	6.333	41009	5813	7.054	0.000	 V M			2.481	0	0.000	0.000	0.000	1.030	0	0	0.000	0.000
20	6.436	6.333	6.633	57565	4876	11.806	0.000	 V 			2.616	3897	38.496	0.000	0.000	1.054	0	0	0.000	0.000
21	7.121	6.633	7.283	155768	7266	21.437	40.757	 V 	9	cyclopent-2-en-1-one	3.001	962	155.932	0.000	1.029	1.147	0	0	0.070	0.070
22	7.457	7.283	7.675	165842	10157	16.328	24.735	 V 	10	4-methyl-(2H)-furan-5-one	3.190	3574	41.973	0.000	0.474	1.063	0	0	0.043	0.043
23	7.816	7.675	8.092	90248	4475	20.168	0.000	 V M			3.392	233	642.742	0.000	0.282	1.063	0	0	0.000	0.000
24	8.104	8.092	8.775	49382	1821	27.119	0.000	 V M			3.553	0	0.000	0.000	0.000	1.048	0	0	0.000	0.000
25	9.339	8.775	9.700	114508	4486	25.528	108.834	 V 	7	5-(hydroxymethyl)furan-2-carbaldehyde	4.247	5258	28.525	0.000	0.000	1.195	0	0	0.188	0.188
26	9.900	9.700	10.125	49825	2689	18.528	157.803	 V 	11	furan-2-carbaldehyde	4.562	4481	33.473	0.000	1.013	1.074	0	0	0.273	0.273
27	10.354	10.125	10.833	60672	2898	20.933	0.000	 V 			4.817	5450	27.525	0.000	0.788	1.056	0	0	0.000	0.000
28	11.253	10.833	11.650	91935	3032	30.323	0.000	 V 			5.323	2610	57.471	0.000	1.248	1.105	0	0	0.000	0.000
29	11.823	11.650	12.633	78499	1966	39.923	0.000	 V 			5.643	821	182.789	0.000	0.450	1.060	0	0	0.000	0.000
30	12.983	12.633	13.258	39984	1292	30.937	0.000	 V 			6.294	1561	96.111	0.000	0.782	1.115	0	0	0.000	0.000
31	13.426	13.258	14.183	35387	1002	35.311	0.000	 V 			6.544	338	444.177	0.000	0.209	1.040	0	0	0.000	0.000
32	14.739	14.233	20.233	16544520	969888	17.058	2624.686	S  	18	1,2-benzenediol	7.281	42316	3.545	3.150	0.818	1.113	0	0	4.537	4.537
33	14.927	14.892	14.975	-5441	3527	-1.543	0.000	T  M			7.387	681710	0.220	1.221	1.049	1.015	0	0	0.000	0.000
34	15.100	15.033	15.142	-1217	2216	-0.549	0.000	T  M			7.484	489641	0.306	0.795	2.177	1.013	0	0	0.000	0.000
35	15.199	15.167	15.225	1139	1033	1.102	5.701	T  M	8	cyclopentane-1,3-dione	7.540	872125	0.172	0.906	1.307	1.007	0	0	0.010	0.010
36	15.303	15.233	15.375	20303	5543	3.663	0.000	T  M			7.598	208613	0.719	1.032	1.044	1.008	0	0	0.000	0.000
37	15.516	15.475	15.583	1169	1090	1.073	2.044	T  M	12	phenol	7.718	404073	0.371	1.297	1.838	1.016	0	0	0.004	0.004
38	15.881	15.825	15.983	19362	3917	4.944	9.636	T  	19	2-methoxyphenol	7.923	196509	0.763	1.369	3.033	1.027	0	0	0.017	0.017
39	16.259	16.158	16.425	39502	5747	6.874	21.319	T  	17	4-methylphenol	8.135	105796	1.418	1.274	2.203	1.027	0	0	0.037	0.037

