[Header]
Application Name	LabSolutions
Version	5.97
Data File Name	C:\Users\AG-LAB-EME2L\Desktop\Goldfarb Lab\Matteo\FW-CP-HTC\210_FWCP250C1h1_1_Method_F.7-.5-.7_B0-60-0_25min_210nm_15.lcd
Output Date	6/9/2023
Output Time	11:10:17 AM

[Configuration]
Instrument Name	MUFASA UV
Instrument #	6
Line #	1
# of Detectors	1
Detector ID	Detector A
Detector Name	Detector A
# of Channels	1

[Peak Table(Detector A)]
# of Peaks	36
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1.782	1.467	1.833	11156	1667	6.691	0.000	   			0.000	753	199.085	0.000	0.000	0.000	0	0	0.000	0.000
2	2.029	1.833	2.033	41388	5146	8.042	12689.719	 V M	20	(2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanoic acid	0.139	0	0.000	0.000	0.000	0.000	0	0	2.549	2.549
3	2.167	2.033	2.292	376319	59912	6.281	7099.174	 V M	21	oxalic acid	0.216	2609	57.485	0.000	0.000	1.556	0	0	1.426	1.426
4	2.357	2.292	2.450	79617	10133	7.857	10804.065	 V 	2	formic acid	0.323	580	258.600	0.000	0.678	1.494	0	0	2.170	2.170
5	2.540	2.450	2.658	177297	22535	7.868	42813.175	 V 	24	2-hydroxypropanoic acid	0.425	1763	85.071	0.000	0.578	1.318	0	0	8.600	8.600
6	2.731	2.658	2.858	893170	203708	4.385	373034.982	 V M	5	acetic acid	0.533	7974	18.812	0.000	1.047	1.251	0	0	74.932	74.932
7	2.872	2.858	3.333	239762	15948	15.034	0.000	SV M			0.612	26	5719.416	0.000	0.119	1.149	0	0	0.000	0.000
8	3.119	3.033	3.200	32970	6333	5.206	0.000	T  			0.751	6818	22.000	0.000	0.207	1.227	0	0	0.000	0.000
9	3.266	3.200	3.333	23630	5389	4.385	0.000	TV 			0.833	10416	14.400	0.000	1.055	1.110	0	0	0.000	0.000
10	3.455	3.333	3.525	379593	52334	7.253	0.000	 V M			0.939	2921	51.349	0.000	0.981	1.127	0	0	0.000	0.000
11	3.538	3.525	3.875	234810	29516	7.955	534.682	 V M	6	2H-furan-5-one	0.985	0	0.000	0.000	0.000	1.050	0	0	0.107	0.107
12	4.014	3.875	4.392	288944	18139	15.930	0.000	 V 			1.253	1583	94.748	0.000	0.000	1.272	0	0	0.000	0.000
13	4.442	4.392	4.600	37154	3603	10.313	0.000	 V 			1.493	185	809.701	0.000	0.501	1.192	0	0	0.000	0.000
14	4.745	4.600	4.908	72162	4924	14.654	0.000	 V 			1.663	43	3514.571	0.000	0.144	1.114	0	0	0.000	0.000
15	5.018	4.908	5.133	66573	6443	10.333	206.464	 V 	22	(E)-but-2-enedioic acid	1.816	2662	56.342	0.000	0.166	1.092	0	0	0.041	0.041
16	5.317	5.133	5.550	120568	7079	17.032	21237.896	 V 	4	propanoic acid	1.984	1670	89.834	0.000	0.659	1.093	0	0	4.266	4.266
17	5.712	5.550	5.800	51091	3940	12.967	0.000	 V 			2.206	575	260.769	0.000	0.536	1.112	0	0	0.000	0.000
18	5.909	5.800	6.033	56101	4871	11.517	0.000	 V 			2.316	1969	76.164	0.000	0.265	1.050	0	0	0.000	0.000
19	6.189	6.033	6.350	129538	10559	12.268	0.000	 V 			2.473	4719	31.786	0.000	0.627	1.068	0	0	0.000	0.000
20	6.488	6.350	6.775	170109	15449	11.011	0.000	 V 			2.641	8277	18.122	0.000	0.927	1.068	0	0	0.000	0.000
21	7.220	6.775	7.350	156380	8066	19.388	418.342	 V 	9	cyclopent-2-en-1-one	3.052	1369	109.571	0.000	1.373	1.155	0	0	0.084	0.084
22	7.490	7.350	7.875	187419	10547	17.771	256.847	 V 	10	3-methyl-(2H)-furan-5-one	3.204	4049	37.042	0.000	0.432	1.050	0	0	0.052	0.052
23	8.000	7.875	8.858	98861	3335	29.647	0.000	 V 			3.490	618	242.887	0.000	0.580	1.089	0	0	0.000	0.000
24	9.402	8.858	9.792	98883	3720	26.580	902.643	 V 	7	5-(hydroxymethyl)furan-2-carbaldehyde	4.276	4790	31.316	0.000	1.531	1.225	0	0	0.181	0.181
25	10.026	9.792	10.233	52627	2875	18.304	1491.974	 V 	11	furan-2-carbaldehyde	4.627	4832	31.044	0.000	1.115	1.082	0	0	0.300	0.300
26	10.439	10.233	10.767	45701	2094	21.824	0.000	 V 			4.859	1652	90.819	0.000	0.515	1.050	0	0	0.000	0.000
27	11.318	10.767	11.517	53863	2015	26.737	0.000	 V 			5.352	3883	38.630	0.000	1.002	1.102	0	0	0.000	0.000
28	11.887	11.517	12.558	70156	1793	39.126	0.000	 V 			5.672	1151	130.345	0.000	0.535	1.060	0	0	0.000	0.000
29	13.192	12.558	14.058	42953	1053	40.794	0.000	 V 			6.404	2647	56.675	0.000	1.075	1.129	0	0	0.000	0.000
30	14.767	14.217	19.375	16361552	954915	17.134	25841.673	S  	18	1,2-benzenediol	7.288	41209	3.640	3.370	2.392	1.138	0	0	5.191	5.191
31	15.029	14.908	15.033	-31963	1464	-21.829	0.000	T  M			7.435	117449	1.277	0.000	1.126	1.020	0	0	0.000	0.000
32	15.127	15.058	15.183	2393	3720	0.643	203.011	T  M	8	cyclopentane-1,3-dione	7.490	410110	0.366	1.148	0.723	1.007	0	0	0.041	0.041
33	15.318	15.225	15.392	32699	7242	4.515	0.000	T  M			7.597	167441	0.896	0.915	1.563	1.014	0	0	0.000	0.000
34	15.442	15.417	15.492	609	1430	0.426	26.825	T  M	12	phenol	7.667	726194	0.207	1.343	1.120	1.009	0	0	0.005	0.005
35	15.906	15.850	16.017	22011	4515	4.875	75.812	T  M	19	2-methoxyphenol	7.927	197366	0.760	1.365	4.305	1.034	0	0	0.015	0.015
36	16.283	16.192	16.467	36695	5312	6.909	197.042	T  	17	4-methylphenol	8.138	106995	1.402	1.422	2.199	1.027	0	0	0.040	0.040

