[Header]
Application Name	LabSolutions
Version	5.97
Data File Name	C:\Users\AG-LAB-EME2L\Desktop\Goldfarb Lab\Matteo\FW-CP-HTC\254_FW250C1h1_2_Method_F1-.2-1_B0-60-0_25min_254nm_7.lcd
Output Date	6/9/2023
Output Time	11:51:21 AM

[Configuration]
Instrument Name	MUFASA UV
Instrument #	6
Line #	1
# of Detectors	1
Detector ID	Detector A
Detector Name	Detector A
# of Channels	1

[Peak Table(Detector A)]
# of Peaks	34
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1.376	1.267	1.492	33644	6823	4.931	0.000	   	16	2-methylcyclopentanone	0.000	1494	100.369	0.000	0.000	0.000	0	0	0.000	0.000
2	1.563	1.492	1.658	42432	8349	5.083	0.000	 V 			0.136	1723	87.055	0.000	1.277	0.000	0	0	0.000	0.000
3	1.688	1.658	1.733	9060	2181	4.155	0.000	 V 			0.227	272	551.977	0.000	0.446	1.667	0	0	0.000	0.000
4	1.799	1.733	1.883	17644	2293	7.696	0.000	 V 			0.308	260	576.142	0.000	0.261	1.357	0	0	0.000	0.000
5	1.937	1.883	2.108	53942	12431	4.339	0.000	 V 			0.408	4155	36.100	0.000	0.488	1.326	0	0	0.000	0.000
6	2.254	2.108	2.258	14363	3201	4.486	0.000	 V M			0.639	0	0.000	0.000	0.000	1.565	0	0	0.000	0.000
7	2.306	2.258	2.467	47251	8418	5.613	0.000	 V M			0.677	3165	47.389	0.000	0.000	1.059	0	0	0.000	0.000
8	2.558	2.467	2.750	26361	3117	8.458	0.000	 V 			0.860	2072	72.399	0.000	1.297	1.271	0	0	0.000	0.000
9	2.856	2.758	2.925	1023	208	4.915	0.000	   M			1.076	6395	23.457	0.854	1.620	1.252	0	0	0.000	0.000
10	2.966	2.925	3.075	434	97	4.483	0.000	   M			1.156	8054	18.625	1.698	0.796	1.074	0	0	0.000	0.000
11	3.342	3.175	3.625	13584	2090	6.498	116.820	   M	13	(E)-but-2-enedioic acid	1.429	5721	26.221	1.174	2.435	1.237	0	0	2.405	2.405
12	3.754	3.625	3.817	4131	574	7.202	0.000	 V M			1.729	2584	58.038	0.000	1.747	1.210	0	0	0.000	0.000
13	4.012	3.817	4.175	19709	1588	12.408	3562.678	 V 	15	4-oxopentanoic acid	1.917	2384	62.917	0.000	0.826	1.108	0	0	73.333	73.333
14	4.261	4.175	4.350	6534	773	8.453	0.000	 V 			2.098	2091	71.731	0.000	0.711	1.095	0	0	0.000	0.000
15	4.442	4.350	4.733	10453	1229	8.508	0.000	 V 			2.229	5734	26.158	0.000	0.594	1.063	0	0	0.000	0.000
16	4.934	4.783	5.150	2022	242	8.341	0.000	   M			2.587	7151	20.977	0.985	2.104	1.161	0	0	0.000	0.000
17	5.289	5.150	5.425	2271	283	8.013	0.000	   M			2.845	8342	17.981	0.942	1.526	1.100	0	0	0.000	0.000
18	5.572	5.442	5.825	4080	425	9.593	196.038	   M	10	2-methyl-2-cyclopenten-1-one	3.051	7101	21.125	1.382	1.142	1.072	0	0	4.035	4.035
19	6.049	5.875	6.242	3083	386	7.994	589.930	   M	17	hexane-2,5-dione	3.397	10708	14.009	0.910	1.915	1.114	0	0	12.143	12.143
20	6.346	6.242	6.450	2125	310	6.865	0.000	   M			3.613	17762	8.445	0.984	1.397	1.063	0	0	0.000	0.000
21	6.763	6.458	7.008	27475	1735	15.839	0.000	 V 			3.916	4752	31.565	0.000	1.432	1.084	0	0	0.000	0.000
22	7.229	7.075	7.617	5041	267	18.848	0.000	   M			4.255	3194	46.963	1.729	1.031	1.087	0	0	0.000	0.000
23	8.380	7.675	8.650	55418	2646	20.941	0.000	 V 			5.092	4536	33.072	0.000	2.280	1.197	0	0	0.000	0.000
24	8.907	8.650	9.200	49695	3165	15.700	0.000	 V 			5.475	7667	19.565	0.000	1.165	1.075	0	0	0.000	0.000
25	10.276	9.658	11.008	323089	20609	15.677	95.062	 V 	1	3-methyl-1,2-cyclopentanedione	6.470	10378	14.454	1.148	3.378	1.182	0	0	1.957	1.957
26	18.056	17.408	18.667	7203009	375464	19.184	0.000	   M			12.126	20768	7.223	1.238	17.200	1.874	0	0	0.000	0.000
27	18.792	18.667	19.058	128482	10995	11.685	0.000	   M			12.661	55424	2.706	1.474	1.793	1.044	0	0	0.000	0.000
28	19.213	19.200	19.492	15169	118	128.535	2.503	   M	2	phenol	12.967	94193	1.592	36.114	1.478	1.024	0	0	0.052	0.052
29	19.604	19.592	20.058	32799	120	273.456	0.000	   M			13.251	37931	3.955	24.161	1.200	1.022	0	0	0.000	0.000
30	20.334	20.125	20.675	104732	7001	14.959	211.139	   M	3	2,6-dimethoxyphenol	13.782	40323	3.720	1.229	1.807	1.040	0	0	4.346	4.346
31	21.038	20.908	21.275	26594	2464	10.794	57.127	   M	11	2-methoxyphenol	14.294	80555	1.862	1.308	2.008	1.037	0	0	1.176	1.176
32	21.679	21.667	22.158	5123	22	234.226	1.603	   M	9	4-methylphenol	14.760	35162	4.266	20.867	1.689	1.033	0	0	0.033	0.033
33	22.274	22.208	22.525	4460	313	14.271	10.690	   M	6	2-methoxy-4-methylphenol	15.192	102013	1.470	2.331	1.604	1.029	0	0	0.220	0.220
34	23.877	23.808	24.042	2039	241	8.474	14.629	   	4	2,4-dimethylphenol	16.358	188530	0.796	1.710	6.429	1.077	0	0	0.301	0.301

