[Header]
Application Name	LabSolutions
Version	5.97
Data File Name	C:\Users\AG-LAB-EME2L\Desktop\Goldfarb Lab\Matteo\FW-CP-HTC\254_FWCP250C1h1_2_Method_F1-.2-1_B0-60-0_25min_254nm_6.lcd
Output Date	6/9/2023
Output Time	11:26:15 AM

[Configuration]
Instrument Name	MUFASA UV
Instrument #	6
Line #	1
# of Detectors	1
Detector ID	Detector A
Detector Name	Detector A
# of Channels	1

[Peak Table(Detector A)]
# of Peaks	37
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1.342	1.192	1.458	32948	6417	5.134	0.000	   	16	2-methylcyclopentanone	0.000	1308	114.694	0.000	0.000	0.000	0	0	0.000	0.000
2	1.536	1.458	1.625	41918	8602	4.873	0.000	 V 			0.145	1879	79.809	0.000	1.339	0.000	0	0	0.000	0.000
3	1.671	1.625	1.742	13140	2083	6.309	0.000	 V 			0.245	327	458.351	0.000	0.527	1.693	0	0	0.000	0.000
4	1.785	1.742	1.850	12409	2150	5.772	0.000	 V 			0.331	425	352.907	0.000	0.320	1.348	0	0	0.000	0.000
5	1.892	1.850	1.958	55857	17122	3.262	0.000	 V M			0.410	6180	24.271	0.000	0.481	1.240	0	0	0.000	0.000
6	1.971	1.958	2.083	15098	2841	5.314	0.000	 V M			0.469	0	0.000	0.000	0.000	1.144	0	0	0.000	0.000
7	2.175	2.083	2.292	44818	7100	6.312	0.000	 V 			0.621	2368	63.358	0.000	0.000	1.324	0	0	0.000	0.000
8	2.380	2.292	2.633	24121	2185	11.039	0.000	 V 			0.774	899	166.844	0.000	0.828	1.247	0	0	0.000	0.000
9	2.739	2.633	2.867	1589	246	6.456	0.000	   M			1.041	3533	42.454	0.959	1.430	1.345	0	0	0.000	0.000
10	2.934	2.867	3.075	1351	225	6.006	0.000	   M			1.187	4838	31.006	1.354	1.103	1.139	0	0	0.000	0.000
11	3.247	3.108	3.433	15045	1747	8.610	0.000	 V 			1.420	3715	40.373	0.000	1.643	1.197	0	0	0.000	0.000
12	3.692	3.500	3.767	2548	217	11.763	121.050	   M	13	(E)-but-2-enedioic acid	1.752	3800	39.477	0.710	1.966	1.234	0	0	0.259	0.259
13	3.947	3.783	4.267	30414	1656	18.369	36522.838	 V 	15	4-oxopentanoic acid	1.942	323	464.146	0.000	0.456	1.108	0	0	78.109	78.109
14	4.384	4.267	4.492	14581	1619	9.004	0.000	 V 			2.267	4041	37.115	0.000	0.757	1.168	0	0	0.000	0.000
15	4.537	4.525	4.633	259	57	4.586	0.000	   M			2.381	34631	4.331	4.307	0.821	1.050	0	0	0.000	0.000
16	4.882	4.717	5.125	3721	302	12.327	0.000	   M			2.639	4669	32.128	1.385	1.801	1.108	0	0	0.000	0.000
17	5.276	5.158	5.425	1735	262	6.623	0.000	   M			2.932	12251	12.244	1.020	1.654	1.111	0	0	0.000	0.000
18	5.534	5.450	5.775	1731	186	9.295	858.332	   M	10	2-methyl-2-cyclopenten-1-one	3.124	7968	18.824	1.734	1.175	1.066	0	0	1.836	1.836
19	6.005	5.883	6.200	2989	350	8.548	5349.396	   M	17	hexane-2,5-dione	3.476	9726	15.423	1.094	1.919	1.113	0	0	11.440	11.440
20	6.331	6.200	6.525	2669	283	9.422	0.000	   M			3.719	11649	12.876	1.290	1.362	1.070	0	0	0.000	0.000
21	6.730	6.525	6.958	26726	2182	12.247	0.000	 V 			4.016	7244	20.707	0.000	1.447	1.080	0	0	0.000	0.000
22	7.205	6.983	7.600	9540	556	17.159	0.000	   M			4.370	3472	43.199	1.325	1.181	1.088	0	0	0.000	0.000
23	8.335	7.900	8.617	57269	3549	16.136	0.000	   			5.212	6592	22.755	0.000	2.510	1.193	0	0	0.000	0.000
24	8.876	8.617	9.158	37940	2770	13.696	0.000	 V 			5.616	9243	16.229	0.000	1.390	1.077	0	0	0.000	0.000
25	9.301	9.183	9.617	2897	236	12.274	0.000	   M			5.933	12186	12.309	1.739	1.203	1.056	0	0	0.000	0.000
26	10.258	9.800	10.975	331732	21116	15.710	974.036	   	1	3-methyl-1,2-cyclopentanedione	6.645	10217	14.681	1.160	2.574	1.120	0	0	2.083	2.083
27	11.390	11.000	12.042	9262	343	26.981	0.000	   M			7.489	4324	34.690	1.191	2.061	1.127	0	0	0.000	0.000
28	15.225	12.125	16.200	13445	99	135.347	0.000	   M			10.347	500	299.834	0.653	2.246	1.382	0	0	0.000	0.000
29	17.949	17.208	18.575	7107663	376691	18.869	0.000	   M			12.378	22023	6.811	1.274	1.699	1.196	0	0	0.000	0.000
30	18.706	18.575	18.975	145065	11739	12.357	0.000	   M			12.942	51791	2.896	1.434	1.864	1.046	0	0	0.000	0.000
31	19.113	19.100	19.383	15660	99	157.478	21.092	   M	2	phenol	13.245	62222	2.411	15.912	1.280	1.023	0	0	0.045	0.045
32	19.538	19.525	19.942	26916	153	175.810	0.000	   M			13.562	44624	3.361	18.878	1.257	1.024	0	0	0.000	0.000
33	20.234	20.025	20.592	101067	6133	16.479	1849.554	   	3	2,6-dimethoxyphenol	14.081	33519	4.475	1.286	1.714	1.038	0	0	3.956	3.956
34	20.947	20.817	21.175	27244	2579	10.562	598.105	   	11	2-methoxyphenol	14.612	82769	1.812	1.276	1.945	1.038	0	0	1.279	1.279
35	21.833	21.775	22.058	2732	219	12.483	160.348	   	9	4-methylphenol	15.273	118220	1.269	2.356	3.253	1.045	0	0	0.343	0.343
36	22.199	22.117	22.450	5379	391	13.744	133.859	   	6	2-methoxy-4-methylphenol	15.545	89005	1.685	1.969	1.325	1.018	0	0	0.286	0.286
37	23.865	23.792	24.033	2168	280	7.753	170.011	   	4	2,4-dimethylphenol	16.787	178040	0.843	1.625	6.360	1.080	0	0	0.364	0.364

