[Header]
Application Name	LabSolutions
Version	5.97
Data File Name	C:\Users\AG-LAB-EME2L\Desktop\Goldfarb Lab\Matteo\FW-CP-HTC\254_FWCPMn250C1h1_1_Method_F1-.2-1_B0-60-0_25min_254nm_8.lcd
Output Date	6/9/2023
Output Time	11:39:27 AM

[Configuration]
Instrument Name	MUFASA UV
Instrument #	6
Line #	1
# of Detectors	1
Detector ID	Detector A
Detector Name	Detector A
# of Channels	1

[Peak Table(Detector A)]
# of Peaks	36
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1.342	1.192	1.458	34982	6855	5.103	0.000	   	16	2-methylcyclopentanone	0.000	1330	112.802	0.000	0.000	0.000	0	0	0.000	0.000
2	1.537	1.458	1.625	43236	8856	4.882	0.000	 V 			0.145	1891	79.339	0.000	1.346	0.000	0	0	0.000	0.000
3	1.671	1.625	1.742	13229	2080	6.362	0.000	 V 			0.245	287	523.491	0.000	0.500	1.689	0	0	0.000	0.000
4	1.785	1.742	1.850	12582	2167	5.807	0.000	 V 			0.330	398	377.350	0.000	0.303	1.348	0	0	0.000	0.000
5	1.893	1.850	2.092	71382	17194	4.152	0.000	 V 			0.410	6200	24.195	0.000	0.476	1.244	0	0	0.000	0.000
6	2.183	2.092	2.300	46311	7280	6.361	0.000	 V 			0.626	2334	64.279	0.000	2.096	1.527	0	0	0.000	0.000
7	2.390	2.300	2.642	24413	2276	10.725	0.000	 V 			0.781	1014	147.934	0.000	0.861	1.246	0	0	0.000	0.000
8	2.751	2.658	2.867	1699	265	6.423	0.000	   M			1.049	3769	39.802	0.994	1.503	1.344	0	0	0.000	0.000
9	2.938	2.867	3.075	1227	203	6.039	0.000	   M			1.188	4670	32.120	1.304	1.064	1.133	0	0	0.000	0.000
10	3.253	3.117	3.425	8798	1337	6.581	0.000	   M			1.424	5149	29.134	0.000	1.788	1.198	0	0	0.000	0.000
11	3.702	3.425	3.783	6826	512	13.337	286.036	 V M	13	(E)-but-2-enedioic acid	1.758	1302	115.205	0.000	1.516	1.235	0	0	0.670	0.670
12	3.953	3.783	4.275	23973	1407	17.037	31038.443	 V M	15	4-oxopentanoic acid	1.944	1640	91.437	0.000	0.626	1.106	0	0	72.731	72.731
13	4.387	4.275	4.492	11962	1461	8.185	0.000	 V M			2.268	5259	28.523	0.000	1.375	1.167	0	0	0.000	0.000
14	4.542	4.492	4.700	4283	678	6.321	0.000	 V M			2.383	2910	51.550	0.000	0.533	1.051	0	0	0.000	0.000
15	4.887	4.725	5.158	4129	317	13.011	0.000	   M			2.640	4127	36.342	1.457	1.077	1.108	0	0	0.000	0.000
16	5.277	5.158	5.417	1745	260	6.714	0.000	   M			2.931	12037	12.462	1.052	1.572	1.110	0	0	0.000	0.000
17	5.535	5.417	5.792	2482	238	10.411	1098.936	   M	10	2-methyl-2-cyclopenten-1-one	3.123	6090	24.632	1.486	1.085	1.066	0	0	2.575	2.575
18	6.008	5.833	6.200	3543	382	9.265	5849.305	   M	17	hexane-2,5-dione	3.476	8422	17.810	1.006	1.733	1.113	0	0	13.706	13.706
19	6.332	6.200	6.517	2453	271	9.056	0.000	   M			3.717	12585	11.919	1.285	1.328	1.069	0	0	0.000	0.000
20	6.733	6.525	6.967	30512	2513	12.140	0.000	 V 			4.016	7406	20.253	0.000	1.489	1.080	0	0	0.000	0.000
21	7.209	6.975	7.600	10341	605	17.107	0.000	   M			4.370	3587	41.819	1.305	1.199	1.088	0	0	0.000	0.000
22	8.339	7.908	8.625	59899	3729	16.063	0.000	   			5.212	6704	22.375	0.000	2.542	1.193	0	0	0.000	0.000
23	8.880	8.625	9.167	39969	2905	13.761	0.000	 V 			5.615	9217	16.274	0.000	1.390	1.077	0	0	0.000	0.000
24	9.306	9.175	9.642	2628	197	13.341	0.000	   M			5.932	10098	14.854	1.692	1.152	1.057	0	0	0.000	0.000
25	10.261	9.700	10.992	344265	21906	15.715	1010.474	   	1	3-methyl-1,2-cyclopentanedione	6.644	10233	14.658	1.161	2.462	1.120	0	0	2.368	2.368
26	11.383	11.025	11.983	9207	351	26.238	0.000	   M			7.480	4556	32.926	1.185	2.077	1.126	0	0	0.000	0.000
27	17.950	17.383	18.575	7377593	393591	18.744	0.000	   M			12.371	22397	6.697	1.295	11.376	1.654	0	0	0.000	0.000
28	18.719	18.575	18.992	167841	13576	12.363	0.000	   M			12.945	50722	2.957	1.338	1.895	1.046	0	0	0.000	0.000
29	19.146	19.133	19.383	14856	238	62.418	50.482	   M	2	phenol	13.262	121233	1.237	10.288	1.545	1.025	0	0	0.118	0.118
30	19.471	19.467	19.908	32446	120	269.920	0.000	   M			13.504	33662	4.456	68.407	1.009	1.018	0	0	0.000	0.000
31	20.240	20.025	20.600	112461	6518	17.254	1965.617	   	3	2,6-dimethoxyphenol	14.077	30194	4.968	1.280	1.727	1.042	0	0	4.606	4.606
32	20.955	20.808	21.192	35375	3259	10.854	755.703	   	11	2-methoxyphenol	14.610	77537	1.935	1.209	1.864	1.038	0	0	1.771	1.771
33	21.830	21.758	22.133	5395	335	16.118	245.263	   	9	4-methylphenol	15.262	88335	1.698	0.000	2.943	1.045	0	0	0.575	0.575
34	22.208	22.133	22.475	8150	598	13.632	204.484	 V 	6	2-methoxy-4-methylphenol	15.543	67242	2.231	0.000	1.187	1.018	0	0	0.479	0.479
35	23.862	23.792	24.025	2097	281	7.460	170.899	   	4	2,4-dimethylphenol	16.776	193178	0.776	1.669	5.912	1.079	0	0	0.400	0.400
36	24.074	24.033	24.150	451	138	3.273	0.000	   			16.933	842946	0.178	1.387	1.314	1.009	0	0	0.000	0.000

